1. trenutak: 38.55528785406927 kW, 4.030190765423296 $, [4, 12, 13]

2. trenutak: 34.192386976706935 kW, 2.2438753953463926 $, [4, 12, 13]

3. trenutak: 27.30375378737935 kW, 1.79180884229677 $, [4, 12, 13]

4. trenutak: 19.676590219370958 kW, 1.291276233146219 $, [4, 12, 13]

5. trenutak: 18.179092802317694 kW, 1.1930029651520988 $, [4, 12, 13]

6. trenutak: 24.628924344439678 kW, 1.616273160103854 $, [4, 12, 13]

7. trenutak: 81.49801231180633 kW, 8.348307057962291 $, [10, 12, 14]

8. trenutak: 92.9027483612608 kW, 6.096742861207741 $, [10, 12, 14]

9. trenutak: 104.81962381712073 kW, 8.37878781299855 $, [10, 12, 14]

10. trenutak: 65.80521550749843 kW, 7.318467267679584 $, [4, 12, 13]

11. trenutak: 118.39954578089514 kW, 9.269970191871245 $, [4, 12, 13]

12. trenutak: 109.19465283435254 kW, 8.665899092254385 $, [4, 12, 13]

13. trenutak: 102.81596521816364 kW, 8.247297717441988 $, [4, 12, 13]

14. trenutak: 102.81599830797016 kW, 8.247299888960542 $, [4, 12, 13]

15. trenutak: 85.3395811620674 kW, 8.600410013760673 $, [10, 12, 14]

16. trenutak: 126.96019088549826 kW, 9.831762526860825 $, [10, 12, 14]

17. trenutak: 92.36708514638883 kW, 9.061589962731766 $, [4, 12, 13]

18. trenutak: 85.41286749155199 kW, 5.6052194291331 $, [4, 12, 13]

19. trenutak: 93.76433230920568 kW, 6.1532843077916235 $, [4, 12, 13]

20. trenutak: 77.12834981147756 kW, 5.061547956378215 $, [4, 12, 13]

21. trenutak: 61.24149329544814 kW, 4.018972997513784 $, [4, 12, 13]

22. trenutak: 50.465832958804214 kW, 3.3118202879215266 $, [4, 12, 13]

23. trenutak: 43.05438145960464 kW, 2.8254437832865547 $, [4, 12, 13]

24. trenutak: 38.55528785406927 kW, 2.530190765423296 $, [4, 12, 13]

