1. trenutak: 114.05672253457472 kW, 9.484972416331466 $, [4, 12, 13]

2. trenutak: 101.79242375547865 kW, 6.680127808953287 $, [4, 12, 13]

3. trenutak: 82.49181468765457 kW, 5.4135253388773314 $, [4, 12, 13]

4. trenutak: 61.19746045238054 kW, 4.016083342187473 $, [4, 12, 13]

5. trenutak: 57.02431390009479 kW, 3.7422205996937206 $, [4, 12, 13]

6. trenutak: 75.01273310312948 kW, 4.922710609892873 $, [4, 12, 13]

7. trenutak: 313.0776478560789 kW, 22.545720640555178 $, [7, 10, 14]

8. trenutak: 347.4043866235716 kW, 24.798412872171887 $, [7, 10, 14]

9. trenutak: 384.12485882102914 kW, 27.208193860130038 $, [10, 12, 14]

10. trenutak: 213.95224307825998 kW, 16.04061595201081 $, [10, 12, 14]

11. trenutak: 465.8478096268852 kW, 32.57126250676434 $, [10, 12, 14]

12. trenutak: 440.5950251120384 kW, 30.91404852297752 $, [10, 12, 14]

13. trenutak: 423.1941759180951 kW, 29.77211779462499 $, [10, 12, 14]

14. trenutak: 423.1945052917072 kW, 29.772139409768286 $, [10, 12, 14]

15. trenutak: 324.6134757552475 kW, 23.30275934643812 $, [7, 10, 14]

16. trenutak: 493.8919668787467 kW, 36.41166032641775 $, [7, 10, 14]

17. trenutak: 278.4280814234236 kW, 24.271842843412173 $, [4, 12, 13]

18. trenutak: 252.9774452112593 kW, 16.601644841988893 $, [4, 12, 13]

19. trenutak: 276.5874292761691 kW, 18.151050046248596 $, [4, 12, 13]

20. trenutak: 227.16565385549464 kW, 14.907746034266836 $, [4, 12, 13]

21. trenutak: 178.27074994856858 kW, 11.699017965374814 $, [4, 12, 13]

22. trenutak: 147.6724083126974 kW, 9.691001795520767 $, [4, 12, 13]

23. trenutak: 126.72279945614581 kW, 8.316183714309568 $, [4, 12, 13]

24. trenutak: 114.05672253457472 kW, 7.484972416331466 $, [4, 12, 13]

